data,sessao_tipo,colegiado,colegiado_desc,sessao_id,sessao_numero,sessao_ano,sessao_data_inicio,sessao_data_fim,sessao_hora_inicio,sessao_tipo,sessao_obs,inc_cadeia,inc_classe,inc_numero,inc_idInformacaoPautaProcesso,inc_materiaRelevante,inc_ministroVista,inc_relator,inc_repercussaoGeral,inc_situacaoProcessoSessao
22/03/2023,O,TP,Plenário,62302,7,2023,2023-03-22,,14:00,O,,,ADI,5549,138756,N,,LUIZ FUX,,S
22/03/2023,O,TP,Plenário,62302,7,2023,2023-03-22,,14:00,O,,,ADI,6270,155306,N,,LUIZ FUX,,S
23/03/2023,E,TP,Plenário,62303,8,2023,2023-03-23,,14:00,E,,,ADI,5549,138756,N,,LUIZ FUX,,S
23/03/2023,E,TP,Plenário,62303,8,2023,2023-03-23,,14:00,E,,,ADI,6270,155306,N,,LUIZ FUX,,S
23/03/2023,E,TP,Plenário,62303,8,2023,2023-03-23,,14:00,E,,,ADI,5070,135389,N,MIN. LUIZ FUX,DIAS TOFFOLI,,S
28/03/2023,O,2T,Segunda Turma,63250,3,2023,2023-03-28,,14:00,O,,AG.REG. NO RECURSO EXTRAORDINÁRIO COM AGRAVO,ARE,1382159,165542,N,,NUNES MARQUES,,J
29/03/2023,O,TP,Plenário,62304,8,2023,2023-03-29,,14:00,O,,,ADI,5549,138756,N,,LUIZ FUX,,J
29/03/2023,O,TP,Plenário,62304,8,2023,2023-03-29,,14:00,O,,,ADI,6270,155306,N,,LUIZ FUX,,J
29/03/2023,O,TP,Plenário,62304,8,2023,2023-03-29,,14:00,O,,,ADI,5070,135389,N,MIN. LUIZ FUX,DIAS TOFFOLI,,S
29/03/2023,O,TP,Plenário,62304,8,2023,2023-03-29,,14:00,O,,,AR,2921,165642,N,,ALEXANDRE DE MORAES,,S
30/03/2023,E,TP,Plenário,62305,9,2023,2023-03-30,,14:00,E,,,AR,2921,165642,N,,ALEXANDRE DE MORAES,,J
11/04/2023,O,1T,Primeira Turma,63350,2,2023,2023-04-11,,14:30,O,,AG.REG. NA AÇÃO ORIGINÁRIA,AO,2624,165842,N,,ALEXANDRE DE MORAES,,J
11/04/2023,O,1T,Primeira Turma,63350,2,2023,2023-04-11,,14:30,O,,AG.REG. NA RECLAMAÇÃO,Rcl,51692,165902,N,,ALEXANDRE DE MORAES,,J
12/04/2023,O,TP,Plenário,62306,9,2023,2023-04-12,,14:00,O,,,ADI,5545,142330,N,,LUIZ FUX,,S
13/04/2023,E,TP,Plenário,62307,10,2023,2023-04-13,,14:00,E,,,ADI,5545,142330,N,,LUIZ FUX,,J
13/04/2023,E,TP,Plenário,62307,10,2023,2023-04-13,,14:00,E,,EMB.DECL. NA AÇÃO DIRETA DE INCONSTITUCIONALIDADE,ADI,4411,158442,N,,MARCO AURÉLIO,,J
18/04/2023,O,2T,Segunda Turma,63431,4,2023,2023-04-18,,14:00,O,,AG.REG. NO HABEAS CORPUS,HC,200605,165743,N,,EDSON FACHIN,,S
18/04/2023,O,2T,Segunda Turma,63431,4,2023,2023-04-18,,14:00,O,,SEGUNDO JULGAMENTO NO AG.REG. NA EXTRADIÇÃO,Ext,1560,166205,N,,GILMAR MENDES,,J
19/04/2023,O,TP,Plenário,62308,10,2023,2023-04-19,,14:00,O,,,RE,1279765,162003,N,,ALEXANDRE DE MORAES,S,S
19/04/2023,O,TP,Plenário,62308,10,2023,2023-04-19,,14:00,O,,EMB.DECL. NA AÇÃO DECLARATÓRIA DE CONSTITUCIONALIDADE,ADC,49,161522,N,,EDSON FACHIN,,J
19/04/2023,O,TP,Plenário,62308,10,2023,2023-04-19,,14:00,O,,,ADI,6654,164770,N,,ALEXANDRE DE MORAES,,J
19/04/2023,O,TP,Plenário,62308,10,2023,2023-04-19,,14:00,O,,,ADI,6658,160564,N,,ALEXANDRE DE MORAES,,J
19/04/2023,O,TP,Plenário,62308,10,2023,2023-04-19,,14:00,O,,,ADI,6703,160563,N,,ALEXANDRE DE MORAES,,J
20/04/2023,E,TP,Plenário,62309,11,2023,2023-04-20,,14:00,E,,,ADI,5090,146497,N,MIN. CRISTIANO ZANIN,LUÍS ROBERTO BARROSO,,S
26/04/2023,O,TP,Plenário,62330,11,2023,2023-04-26,,14:00,O,,,RE,1279765,162003,N,,ALEXANDRE DE MORAES,S,S
27/04/2023,E,TP,Plenário,62331,12,2023,2023-04-27,,14:00,E,,,ADI,5090,146497,N,MIN. CRISTIANO ZANIN,LUÍS ROBERTO BARROSO,,S
27/04/2023,E,TP,Plenário,62331,12,2023,2023-04-27,,14:00,E,,,RE,1279765,162003,N,,ALEXANDRE DE MORAES,S,S
27/04/2023,E,TP,Plenário,62331,12,2023,2023-04-27,,14:00,E,,,ADPF,966,165463,N,,ROSA WEBER,,S
27/04/2023,E,TP,Plenário,62331,12,2023,2023-04-27,,14:00,E,,,ADPF,964,165443,N,,ROSA WEBER,,S
27/04/2023,E,TP,Plenário,62331,12,2023,2023-04-27,,14:00,E,,,ADPF,965,165462,N,,ROSA WEBER,,S
27/04/2023,E,TP,Plenário,62331,12,2023,2023-04-27,,14:00,E,,,ADPF,967,165464,N,,ROSA WEBER,,S
03/05/2023,O,TP,Plenário,62332,12,2023,2023-05-03,,14:00,O,,,ADPF,964,165443,N,,ROSA WEBER,,S
03/05/2023,O,TP,Plenário,62332,12,2023,2023-05-03,,14:00,O,,,ADPF,965,165462,N,,ROSA WEBER,,S
03/05/2023,O,TP,Plenário,62332,12,2023,2023-05-03,,14:00,O,,,ADPF,966,165463,N,,ROSA WEBER,,S
03/05/2023,O,TP,Plenário,62332,12,2023,2023-05-03,,14:00,O,,,ADPF,967,165464,N,,ROSA WEBER,,S
04/05/2023,E,TP,Plenário,62333,13,2023,2023-05-04,,14:00,E,,,ADPF,964,165443,N,,ROSA WEBER,,S
04/05/2023,E,TP,Plenário,62333,13,2023,2023-05-04,,14:00,E,,,ADPF,965,165462,N,,ROSA WEBER,,S
04/05/2023,E,TP,Plenário,62333,13,2023,2023-05-04,,14:00,E,,,ADPF,966,165463,N,,ROSA WEBER,,S
04/05/2023,E,TP,Plenário,62333,13,2023,2023-05-04,,14:00,E,,,ADPF,967,165464,N,,ROSA WEBER,,S
09/05/2023,O,2T,Segunda Turma,63652,5,2023,2023-05-09,,14:00,O,,EMB.DECL. NO AG.REG. NO HABEAS CORPUS,HC,208699,165742,N,,EDSON FACHIN,,J
10/05/2023,O,TP,Plenário,62334,13,2023,2023-05-10,,14:00,O,,,ADPF,964,165443,N,,ROSA WEBER,,J
10/05/2023,O,TP,Plenário,62334,13,2023,2023-05-10,,14:00,O,,,ADPF,965,165462,N,,ROSA WEBER,,J
10/05/2023,O,TP,Plenário,62334,13,2023,2023-05-10,,14:00,O,,,ADPF,966,165463,N,,ROSA WEBER,,J
10/05/2023,O,TP,Plenário,62334,13,2023,2023-05-10,,14:00,O,,,ADPF,967,165464,N,,ROSA WEBER,,J
10/05/2023,O,TP,Plenário,62334,13,2023,2023-05-10,,14:00,O,,,AP,1025,160762,N,,EDSON FACHIN,,S
11/05/2023,E,TP,Plenário,62335,14,2023,2023-05-11,,14:00,E,,,AP,1025,160762,N,,EDSON FACHIN,,S
17/05/2023,O,TP,Plenário,62336,14,2023,2023-05-17,,14:00,O,,,AP,1025,160762,N,,EDSON FACHIN,,S
18/05/2023,E,TP,Plenário,62337,15,2023,2023-05-18,,14:00,E,,,AP,1025,160762,N,,EDSON FACHIN,,S
23/05/2023,O,2T,Segunda Turma,64455,6,2023,2023-05-23,,14:00,O,,AG.REG. NO HABEAS CORPUS,HC,200605,165743,N,,EDSON FACHIN,,J
23/05/2023,O,2T,Segunda Turma,64455,6,2023,2023-05-23,,14:00,O,,AG.REG. NO RECURSO EXTRAORDINÁRIO COM AGRAVO,ARE,1208460,164583,N,,EDSON FACHIN,,J
24/05/2023,O,TP,Plenário,62338,15,2023,2023-05-24,,14:00,O,,,AP,1025,160762,N,,EDSON FACHIN,,S
25/05/2023,E,TP,Plenário,62339,16,2023,2023-05-25,,14:00,E,,,AP,1025,160762,N,,EDSON FACHIN,,S
31/05/2023,O,TP,Plenário,62340,16,2023,2023-05-31,,14:00,O,,,AP,1025,160762,N,,EDSON FACHIN,,J
01/06/2023,E,TP,Plenário,62341,17,2023,2023-06-01,,14:00,E,,QUESTÃO DE ORDEM NO AG.REG. NA RECLAMAÇÃO,Rcl,34805,155226,N,MIN. ANDRÉ MENDONÇA,EDSON FACHIN,,S
01/06/2023,E,TP,Plenário,62341,17,2023,2023-06-01,,14:00,E,,QUESTÃO DE ORDEM NO AG.REG. NA RECLAMAÇÃO,Rcl,36131,,,MIN. ANDRÉ MENDONÇA,EDSON FACHIN,,S
01/06/2023,E,TP,Plenário,62341,17,2023,2023-06-01,,14:00,E,,,Pet,9007,161682,N,,NUNES MARQUES,,S
06/06/2023,O,1T,Primeira Turma,66270,3,2023,2023-06-06,,14:00,O,,QUESTÃO DE ORDEM NOS EMB.DECL. NO INQUÉRITO,Inq,3515,166509,N,,ANDRÉ MENDONÇA,,J
06/06/2023,O,1T,Primeira Turma,66270,3,2023,2023-06-06,,14:00,O,,EMB.DECL. NO INQUÉRITO,Inq,3515,156143,N,,ANDRÉ MENDONÇA,,J
06/06/2023,O,1T,Primeira Turma,66270,3,2023,2023-06-06,,14:00,O,,,HC,180335,158425,N,,LUÍS ROBERTO BARROSO,,J
06/06/2023,O,1T,Primeira Turma,66270,3,2023,2023-06-06,,14:00,O,,EMB.DECL. NO RECURSO EXTRAORDINÁRIO COM AGRAVO,ARE,1398817,165722,N,,LUÍS ROBERTO BARROSO,,J
06/06/2023,O,1T,Primeira Turma,66270,3,2023,2023-06-06,,14:00,O,,AG.REG. NA RECLAMAÇÃO,Rcl,54580,165942,N,,LUÍS ROBERTO BARROSO,,J
07/06/2023,O,TP,Plenário,62342,17,2023,2023-06-07,,14:00,O,,,RE,1017365,154062,N,,EDSON FACHIN,S,S
07/06/2023,O,TP,Plenário,62342,17,2023,2023-06-07,,14:00,O,,,ACO,1100,150913,N,MIN. GILMAR MENDES,EDSON FACHIN,,S
13/06/2023,O,2T,Segunda Turma,66980,7,2023,2023-06-13,,14:00,O,,AG.REG. NO RECURSO EXTRAORDINÁRIO COM AGRAVO,ARE,1366385,166589,N,,NUNES MARQUES,,J
13/06/2023,O,2T,Segunda Turma,66980,7,2023,2023-06-13,,14:00,O,,,HC,208917,166590,N,,RICARDO LEWANDOWSKI,,J
13/06/2023,O,2T,Segunda Turma,66980,7,2023,2023-06-13,,14:00,O,,AG.REG. NO RECURSO EXTRAORDINÁRIO COM AGRAVO,ARE,1208460,164583,N,,EDSON FACHIN,,J
14/06/2023,O,TP,Plenário,62343,18,2023,2023-06-14,,14:00,O,,,ACO,1100,150913,N,MIN. GILMAR MENDES,EDSON FACHIN,,S
14/06/2023,O,TP,Plenário,62343,18,2023,2023-06-14,,14:00,O,,,ADI,6298,155340,N,,LUIZ FUX,,S
14/06/2023,O,TP,Plenário,62343,18,2023,2023-06-14,,14:00,O,,,ADI,6299,155343,N,,LUIZ FUX,,S
14/06/2023,O,TP,Plenário,62343,18,2023,2023-06-14,,14:00,O,,,ADI,6300,155342,N,,LUIZ FUX,,S
14/06/2023,O,TP,Plenário,62343,18,2023,2023-06-14,,14:00,O,,,ADI,6305,155344,N,,LUIZ FUX,,S
15/06/2023,E,TP,Plenário,62344,18,2023,2023-06-15,,14:00,E,,,ADI,6298,155340,N,,LUIZ FUX,,S
15/06/2023,E,TP,Plenário,62344,18,2023,2023-06-15,,14:00,E,,,ADI,6299,155343,N,,LUIZ FUX,,S
15/06/2023,E,TP,Plenário,62344,18,2023,2023-06-15,,14:00,E,,,ADI,6300,155342,N,,LUIZ FUX,,S
15/06/2023,E,TP,Plenário,62344,18,2023,2023-06-15,,14:00,E,,,ADI,6305,155344,N,,LUIZ FUX,,S
20/06/2023,O,2T,Segunda Turma,65573,8,2023,2023-06-20,,14:00,O,,AG.REG. NO RECURSO EXTRAORDINÁRIO COM AGRAVO,ARE,1387681,166486,N,,EDSON FACHIN,,J
20/06/2023,O,2T,Segunda Turma,65573,8,2023,2023-06-20,,14:00,O,,AG.REG. NO RECURSO EXTRAORDINÁRIO COM AGRAVO,ARE,1287076,166632,N,,EDSON FACHIN,,J
20/06/2023,O,2T,Segunda Turma,65573,8,2023,2023-06-20,,14:00,O,,QUESTÃO DE ORDEM NO SEGUNDO AG.REG. NA RECLAMAÇÃO,Rcl,57761,166671,N,,DIAS TOFFOLI,,J
20/06/2023,O,2T,Segunda Turma,65573,8,2023,2023-06-20,,14:00,O,,AG.REG. NO HABEAS CORPUS,HC,214070,166694,N,,NUNES MARQUES,,J
21/06/2023,O,TP,Plenário,62345,19,2023,2023-06-21,,14:00,O,,,ADI,6298,155340,N,,LUIZ FUX,,S
21/06/2023,O,TP,Plenário,62345,19,2023,2023-06-21,,14:00,O,,,ADI,6299,155343,N,,LUIZ FUX,,S
21/06/2023,O,TP,Plenário,62345,19,2023,2023-06-21,,14:00,O,,,ADI,6300,155342,N,,LUIZ FUX,,S
21/06/2023,O,TP,Plenário,62345,19,2023,2023-06-21,,14:00,O,,,ADI,6305,155344,N,,LUIZ FUX,,S
22/06/2023,E,TP,Plenário,62346,19,2023,2023-06-22,,14:00,E,,,ADI,6298,155340,N,,LUIZ FUX,,S
22/06/2023,E,TP,Plenário,62346,19,2023,2023-06-22,,14:00,E,,,ADI,6299,155343,N,,LUIZ FUX,,S
22/06/2023,E,TP,Plenário,62346,19,2023,2023-06-22,,14:00,E,,,ADI,6300,155342,N,,LUIZ FUX,,S
22/06/2023,E,TP,Plenário,62346,19,2023,2023-06-22,,14:00,E,,,ADI,6305,155344,N,,LUIZ FUX,,S
28/06/2023,O,TP,Plenário,62347,20,2023,2023-06-28,,14:00,O,,,ADI,6298,155340,N,,LUIZ FUX,,S
28/06/2023,O,TP,Plenário,62347,20,2023,2023-06-28,,14:00,O,,,ADI,6299,155343,N,,LUIZ FUX,,S
28/06/2023,O,TP,Plenário,62347,20,2023,2023-06-28,,14:00,O,,,ADI,6300,155342,N,,LUIZ FUX,,S
28/06/2023,O,TP,Plenário,62347,20,2023,2023-06-28,,14:00,O,,,ADI,6305,155344,N,,LUIZ FUX,,S
29/06/2023,E,TP,Plenário,62348,20,2023,2023-06-29,,14:00,E,,,Pet,9007,161682,N,,NUNES MARQUES,,J
29/06/2023,E,TP,Plenário,62348,20,2023,2023-06-29,,14:00,E,,,ADPF,779,158024,N,,DIAS TOFFOLI,,S
30/06/2023,E,TP,Plenário,62349,21,2023,2023-06-30,,10:00,E,,,ADPF,779,158024,N,,DIAS TOFFOLI,,S
01/08/2023,E,TP,Plenário,68909,22,2023,2023-08-01,,14:00,E,,,ADPF,779,158024,N,,DIAS TOFFOLI,,J
01/08/2023,E,TP,Plenário,68909,22,2023,2023-08-01,,14:00,E,,,AP,969,157562,N,,GILMAR MENDES,,S
02/08/2023,O,TP,Plenário,68910,21,2023,2023-08-02,,14:00,O,,,RE,635659,94206,N,MIN. DIAS TOFFOLI,GILMAR MENDES,S,S
09/08/2023,O,TP,Plenário,68912,22,2023,2023-08-09,,14:00,O,,,ADI,6298,155340,N,,LUIZ FUX,,S
09/08/2023,O,TP,Plenário,68912,22,2023,2023-08-09,,14:00,O,,,ADI,6299,155343,N,,LUIZ FUX,,S
09/08/2023,O,TP,Plenário,68912,22,2023,2023-08-09,,14:00,O,,,ADI,6300,155342,N,,LUIZ FUX,,S
09/08/2023,O,TP,Plenário,68912,22,2023,2023-08-09,,14:00,O,,,ADI,6305,155344,N,,LUIZ FUX,,S
10/08/2023,E,TP,Plenário,68913,23,2023,2023-08-10,,14:00,E,,,ADI,6298,155340,N,,LUIZ FUX,,S
10/08/2023,E,TP,Plenário,68913,23,2023,2023-08-10,,14:00,E,,,ADI,6299,155343,N,,LUIZ FUX,,S
10/08/2023,E,TP,Plenário,68913,23,2023,2023-08-10,,14:00,E,,,ADI,6300,155342,N,,LUIZ FUX,,S
