data,sessao_tipo,colegiado,colegiado_desc,sessao_id,sessao_numero,sessao_ano,sessao_data_inicio,sessao_data_fim,sessao_hora_inicio,sessao_tipo,sessao_obs,lista_tipo,lista_desc,lista_ministro,lista_min_id,lista_min_desc,lista_min_ordem,lista_min_qtd
06/04/2021,O,1T,Primeira Turma,55150,5,2021,2021-04-06,,14:00,O,,5,Listas de Devoluções de Vistas,MARCO AURÉLIO,101643,322-2021,2,1
06/04/2021,O,2T,Segunda Turma,55290,9,2021,2021-04-06,,14:00,O,,5,Listas de Devoluções de Vistas,EDSON FACHIN,94209,63-2019,4,1
27/04/2021,O,2T,Segunda Turma,55590,12,2021,2021-04-27,,14:00,O,,4,Listas de Destaques feitos no PV,RICARDO LEWANDOWSKI,99110,10-2021,2,1
04/05/2021,O,1T,Primeira Turma,55550,7,2021,2021-05-04,,14:00,O,,2,Listas dos Relatores (Incidentes e Recursos - Todas as Classes),MARCO AURÉLIO,102232,387-2021,1,1
04/05/2021,O,1T,Primeira Turma,55550,7,2021,2021-05-04,,14:00,O,,2,Listas dos Relatores (Incidentes e Recursos - Todas as Classes),MARCO AURÉLIO,99203,84-2021,1,1
11/05/2021,O,2T,Segunda Turma,55691,14,2021,2021-05-11,,14:00,O,,1,"Listas dos Relatores (Mérito, exceto Controle Concentrado)",GILMAR MENDES,103012,184-2021,2,1
11/05/2021,O,2T,Segunda Turma,55691,14,2021,2021-05-11,,14:00,O,,4,Listas de Destaques feitos no PV,EDSON FACHIN,102714,229-2021,1,1
18/05/2021,O,1T,Primeira Turma,55750,8,2021,2021-05-18,,14:00,O,,1,"Listas dos Relatores (Mérito, exceto Controle Concentrado)",MARCO AURÉLIO,102886,455-2021,1,1
18/05/2021,O,1T,Primeira Turma,55750,8,2021,2021-05-18,,14:00,O,,2,Listas dos Relatores (Incidentes e Recursos - Todas as Classes),MARCO AURÉLIO,102887,456-2021,2,1
08/06/2021,O,2T,Segunda Turma,56070,17,2021,2021-06-08,,14:00,O,,4,Listas de Destaques feitos no PV,RICARDO LEWANDOWSKI,104053,176-2021,3,1
